row,i11,i12,i13,i14,i21,i22,i23,i24,i31,i32,i33,i34
1,0.419730904,0.531826034,-1.524221531,-1.580269096,0.091208092,0.297166882,-1.805812513,-1.908791908,-0.120313881,0.146079759,-1.987117061,-2.120313881
2,0.893968755,0.940004253,-1.083013496,-1.106031245,0.831294,0.89523657,-1.136734715,-1.168706,0.940995234,0.973594595,-1.042705086,-1.059004766
3,1.840407236,1.528665573,-0.315463595,-0.159592764,1.175327793,1.053608828,-0.88553169,-0.824672207,0.961236565,0.900686522,-1.069038456,-1.038763435
4,1.527940115,1.513838436,-0.479110725,-0.472059885,2.176115595,1.976820922,0.076468258,0.176115595,2.771286662,2.401943113,0.586614887,0.771286662
5,1.189353746,1.163496199,-0.823575027,-0.810646254,1.195472292,1.167866589,-0.818330559,-0.804527708,1.356734754,1.283054062,-0.680105592,-0.643265246
6,1.954404976,1.611391978,-0.217101523,-0.045595024,1.811253044,1.509140598,-0.339803179,-0.188746956,1.448087493,1.249736633,-0.651087937,-0.551912507
7,1.46887006,1.376686819,-0.577221561,-0.53112994,1.004869688,1.045257982,-0.974936165,-0.995130312,1.385334872,1.317018827,-0.648823151,-0.614665128
8,0.335954547,0.588966794,-1.537539329,-1.664045453,0.90872654,0.998089646,-1.046591907,-1.09127346,1.102347026,1.136389993,-0.88063149,-0.897652974
9,0.691937409,0.82930798,-1.239377306,-1.308062591,0.735505534,0.860428069,-1.202033199,-1.264494466,1.007432325,1.054661491,-0.968953092,-0.992567675
10,0.596420105,0.685552499,-1.359013698,-1.403579895,0.809740011,0.83792386,-1.176168064,-1.190259989,0.5945845,0.684241352,-1.360587074,-1.4054155
11,2.310391609,2.065575249,0.187983429,0.310391609,1.33917779,1.371851093,-0.644485558,-0.66082221,2.378835437,2.114463698,0.246649567,0.378835437
12,1.36882265,1.296859884,-0.667158733,-0.63117735,0.448256611,0.639312714,-1.456215337,-1.551743389,0.91738898,0.974407263,-1.054101878,-1.08261102
13,1.094167841,1.014013551,-0.945909304,-0.905832159,2.164644103,1.778639452,-0.028358222,0.164644103,1.536002825,1.329609968,-0.567193603,-0.463997175
14,0.413067935,0.390931392,-1.598000337,-1.586932065,0.738489356,0.623375264,-1.31906769,-1.261510644,-0.455357587,-0.229372552,-2.342365069,-2.455357587
15,0.948390481,1.059558708,-0.996025405,-1.051609519,0.384391928,0.656702599,-1.479452737,-1.615608072,1.11040389,1.175282572,-0.857156769,-0.88959611
16,2.237359113,1.879976486,0.058667799,0.237359113,1.241439868,1.168605597,-0.794977268,-0.758560132,1.51797464,1.366130434,-0.557947463,-0.48202536
17,1.343638256,1.24406816,-0.706146792,-0.656361744,0.45073148,0.606277606,-1.471495457,-1.54926852,0.710589742,0.79189065,-1.248759804,-1.289410258
18,-0.093481146,0.299842285,-1.896819431,-2.093481146,1.927792793,1.743609384,-0.164298912,-0.072207207,1.7885857,1.644175747,-0.283619276,-0.2114143
19,1.73731549,1.597044309,-0.332820101,-0.26268451,2.287449009,1.989996823,0.138722916,0.287449009,2.528892706,2.162456607,0.345674656,0.528892706
20,0.847216411,0.941774693,-1.105504448,-1.152783589,0.851957755,0.945161367,-1.101440439,-1.148042245,1.144501508,1.15412119,-0.850688651,-0.855498492
21,0.528216617,0.741781358,-1.365001012,-1.471783383,1.231248813,1.243947212,-0.762401988,-0.768751187,1.475209746,1.418205022,-0.553292616,-0.524790254
22,1.08205845,1.125653433,-0.896144059,-0.91794155,0.907169426,1.000732701,-1.046048937,-1.092830574,1.34677385,1.314735862,-0.669245144,-0.65322615
23,0.304166381,0.509367271,-1.593233174,-1.695833619,0.374558602,0.559647428,-1.532896985,-1.625441398,0.390348719,0.570926084,-1.519362598,-1.609651281
24,-0.107029369,0.038748877,-2.034140246,-2.107029369,-0.329982503,-0.120503362,-2.225242932,-2.329982503,-1.247775415,-0.776069727,-3.011922571,-3.247775415
25,0.748420237,0.87342809,-1.189075836,-1.251579763,0.606716419,0.772211078,-1.310536251,-1.393283581,0.956025657,1.021717676,-1.011128333,-1.043974343
26,-0.197523939,0.139814723,-2.028854608,-2.197523939,1.393628184,1.276351953,-0.665009931,-0.606371816,0.888500238,0.915546278,-1.097976742,-1.111499762
27,1.539712279,1.37215487,-0.544066425,-0.460287721,1.213734003,1.139313245,-0.823476376,-0.786265997,1.234412645,1.154083703,-0.805751826,-0.765587355
28,0.666135467,0.635460844,-1.349201844,-1.333864533,0.684743459,0.648752266,-1.333252137,-1.315256541,-0.048824227,0.124775347,-1.96202444,-2.048824227
29,0.059859128,0.287486515,-1.826327179,-1.940140872,0.605934709,0.677540502,-1.358262395,-1.394065291,0.205439832,0.391472732,-1.701543718,-1.794560168
30,2.003052913,1.752289929,-0.122328579,0.003052913,2.311366485,1.972513908,0.141940197,0.311366485,2.425742931,2.05421137,0.239977151,0.425742931
31,1.70612882,1.620835976,-0.336517602,-0.29387118,1.244019272,1.290757727,-0.732611501,-0.755980728,2.055164203,1.870146964,-0.037344416,0.055164203
32,0.762613644,0.82162794,-1.207879208,-1.237386356,0.264213179,0.465627608,-1.635079607,-1.735786821,0.362855989,0.536086758,-1.550528626,-1.637144011
33,1.742889446,1.563864314,-0.34662312,-0.257110554,2.445432744,2.065680955,0.255556849,0.445432744,2.426557412,2.052198575,0.239377994,0.426557412
34,1.598551929,1.422925232,-0.48926142,-0.401448071,1.023764221,1.012362583,-0.981936598,-0.976235779,1.169568397,1.116508423,-0.85696159,-0.830431603
35,1.16198889,0.997672674,-0.920169218,-0.83801111,0.436100063,0.479180654,-1.542359642,-1.563899937,-0.027742995,0.147864185,-1.939939405,-2.027742995
36,1.357549809,1.219821758,-0.711314217,-0.642450191,0.367074971,0.512339731,-1.560292649,-1.632925029,0.458805594,0.577861604,-1.481666401,-1.541194406
37,1.269455371,1.158671841,-0.785936394,-0.730544629,0.296766676,0.463894201,-1.619669561,-1.703233324,0.393409715,0.532924943,-1.536832671,-1.606590285
38,0.938867784,0.951250126,-1.054941045,-1.061132216,0.612583952,0.718190246,-1.334612901,-1.387416048,0.681110468,0.767137758,-1.275875887,-1.318889532
39,1.115833747,1.17702628,-0.853569987,-0.884166253,1.597554671,1.521112654,-0.440666337,-0.402445329,1.997523174,1.806804442,-0.097836192,-0.002476826
40,0.962623024,1.038717224,-0.999329876,-1.037376976,1.768597552,1.614413316,-0.308494566,-0.231402448,1.904557916,1.711527862,-0.191957111,-0.095442084
41,0.464348036,0.603289432,-1.466181266,-1.535651964,1.136448121,1.083360921,-0.890095479,-0.863551879,0.85338307,0.881171599,-1.132722665,-1.14661693
42,0.778449401,0.820032857,-1.200758871,-1.221550599,0.630764928,0.714543948,-1.327345562,-1.369235072,0.549662637,0.656613739,-1.396861812,-1.450337363
43,0.323311567,0.576390837,-1.550148798,-1.676688433,0.802421764,0.918612407,-1.139482915,-1.197578236,1.003667975,1.0623597,-0.966986162,-0.996332025
44,2.685268135,2.251476942,0.468372539,0.685268135,1.498994642,1.404138732,-0.548433313,-0.501005358,2.130410916,1.855150357,-0.007219364,0.130410916
45,1.63894669,1.397354291,-0.481849509,-0.36105331,0.781369587,0.784799217,-1.216915598,-1.218630413,0.697726043,0.725053828,-1.288610064,-1.302273957
46,0.001575445,0.226197161,-1.886113697,-1.998424555,0.930954313,0.89003921,-1.089503239,-1.069045687,0.301948416,0.440749284,-1.62865115,-1.698051584
47,0.827355204,0.907932171,-1.132356313,-1.172644796,0.352694615,0.568888893,-1.539208246,-1.647305385,0.675551656,0.799501065,-1.262473639,-1.324448344
48,0.90390113,0.997232201,-1.049433335,-1.09609887,2.252564476,1.960563162,0.106563819,0.252564476,2.228369862,1.943281295,0.085825578,0.228369862
49,1.512271719,1.356278696,-0.565724793,-0.487728281,1.184530584,1.122177885,-0.846645766,-0.815469416,1.227244386,1.152687744,-0.810033935,-0.772755614
50,1.205973971,1.222647785,-0.785689122,-0.794026029,1.365210396,1.336388088,-0.649200758,-0.634789604,1.753565543,1.613784621,-0.316324918,-0.246434457
51,1.296754724,1.246091021,-0.728577127,-0.703245276,0.760384616,0.862969516,-1.188322934,-1.239615384,1.118348006,1.118657651,-0.881497171,-0.881651994
52,0.796409353,0.802118704,-1.200735971,-1.203590647,0.45819608,0.560537795,-1.490633063,-1.54180392,0.256722453,0.416628061,-1.663324743,-1.743277547
